1pctl,10pctl,50pctl,90pct,99pct,stddev,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
7.62E-05,7.67E-05,7.74E-05,7.83E-05,9.90E-05,3.31E-06,1802, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.74E-05,7.85E-05,0.00010222,3.64E-06,1696, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.61E-05,7.67E-05,7.75E-05,7.87E-05,0.000107531,4.53E-06,1104, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), yl(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.88E-05,0.0001079,4.55E-06,1099, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.61E-05,7.67E-05,7.75E-05,7.88E-05,0.000105027,4.15E-06,1204, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.87E-05,0.000107999,4.40E-06,816, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), WaitSend, yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.60E-05,7.67E-05,7.75E-05,7.87E-05,0.000106717,4.29E-06,806, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), yl(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.60E-05,7.67E-05,7.75E-05,7.87E-05,0.000108754,5.37E-06,1114, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(355893104), WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.61E-05,7.67E-05,7.75E-05,7.87E-05,0.000106392,3.91E-06,858, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.67E-05,7.74E-05,7.84E-05,0.000104512,3.79E-06,1703, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.76E-05,7.87E-05,0.000107577,3.84E-06,1189, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, yl(355893104), WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.74E-05,7.85E-05,0.000100539,3.51E-06,1754, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.67E-05,7.75E-05,7.87E-05,9.80E-05,3.73E-06,2291, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.86E-05,0.000104599,3.56E-06,1156, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.67E-05,7.75E-05,7.85E-05,0.000107202,4.79E-06,1697, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.60E-05,7.67E-05,7.76E-05,7.89E-05,0.000108208,5.36E-06,807, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(355893104), yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.61E-05,7.67E-05,7.74E-05,7.84E-05,0.000108086,4.07E-06,1787, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, yl(355893104), WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.86E-05,0.000106414,3.66E-06,2200, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(355893104), WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.88E-05,0.000108527,4.92E-06,2258, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.76E-05,7.87E-05,0.000105117,3.64E-06,1098, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.62E-05,7.67E-05,7.74E-05,7.85E-05,0.00010525,3.51E-06,1699, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.86E-05,0.000106275,4.43E-06,1698, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.62E-05,7.67E-05,7.76E-05,7.88E-05,0.000108786,4.42E-06,803, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.61E-05,7.67E-05,7.77E-05,7.90E-05,0.000109761,5.08E-06,1192, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, yl(366722768), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.61E-05,7.67E-05,7.76E-05,7.89E-05,0.00010405,3.99E-06,800, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.62E-05,7.67E-05,7.75E-05,7.85E-05,0.000106466,4.62E-06,1807, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.67E-05,7.75E-05,7.84E-05,0.000105788,3.65E-06,1695, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.62E-05,7.67E-05,7.77E-05,7.88E-05,0.000106374,4.17E-06,1096, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.63E-05,7.67E-05,7.75E-05,7.86E-05,0.000105496,4.12E-06,1755, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(366722768), WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.61E-05,7.67E-05,7.77E-05,7.89E-05,0.000106328,4.31E-06,839, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), yl(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.67E-05,7.76E-05,7.88E-05,0.000105068,3.62E-06,874, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.63E-05,7.67E-05,7.76E-05,7.88E-05,0.000109935,5.54E-06,2191, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.68E-05,7.76E-05,7.88E-05,0.00010741,4.37E-06,2183, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.62E-05,7.68E-05,7.76E-05,7.87E-05,0.000107757,4.14E-06,1790, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, yl(366722768), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.68E-05,7.77E-05,7.88E-05,0.000105986,3.91E-06,799, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.62E-05,7.68E-05,7.76E-05,7.88E-05,0.000101139,3.71E-06,891, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, yl(355893104), WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.61E-05,7.68E-05,7.76E-05,7.87E-05,0.000107162,3.87E-06,2201, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), WaitSend, yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.61E-05,7.68E-05,7.78E-05,7.91E-05,0.000103324,3.82E-06,878, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.68E-05,7.77E-05,7.90E-05,0.000108542,4.45E-06,1136, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(366722768), yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.61E-05,7.68E-05,7.76E-05,7.88E-05,0.000110085,4.77E-06,2242, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(366722768), WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.61E-05,7.68E-05,7.77E-05,7.89E-05,0.000109081,5.44E-06,801, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.62E-05,7.68E-05,7.77E-05,7.90E-05,0.000104765,3.85E-06,907, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.68E-05,7.76E-05,7.88E-05,0.000104322,3.81E-06,1101, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.60E-05,7.68E-05,7.77E-05,7.92E-05,0.000110431,5.52E-06,894, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, yl(366722768), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.68E-05,7.78E-05,7.90E-05,0.000108712,4.10E-06,1124, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.62E-05,7.68E-05,7.77E-05,7.90E-05,0.000107638,4.48E-06,2182, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.63E-05,7.68E-05,7.76E-05,7.87E-05,0.000106193,4.03E-06,1726, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.61E-05,7.68E-05,7.76E-05,7.87E-05,0.000104941,4.50E-06,802, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.62E-05,7.68E-05,7.76E-05,7.87E-05,0.000107915,4.14E-06,859, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(366722768), WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.64E-05,7.68E-05,7.76E-05,7.86E-05,9.33E-05,2.73E-06,1724, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.61E-05,7.68E-05,7.77E-05,7.90E-05,0.000106916,5.07E-06,1137, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), yl(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.68E-05,7.76E-05,7.88E-05,0.000103695,3.56E-06,2190, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.63E-05,7.68E-05,7.77E-05,7.89E-05,0.000108816,4.92E-06,910, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.61E-05,7.68E-05,7.78E-05,7.91E-05,0.000108123,4.88E-06,1129, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.62E-05,7.68E-05,7.76E-05,7.87E-05,0.000111175,5.36E-06,2275, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitSend, yl(355893104), WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.63E-05,7.68E-05,7.77E-05,7.88E-05,0.000108922,4.61E-06,2243, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.68E-05,7.77E-05,7.90E-05,0.000104898,4.05E-06,1774, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.68E-05,7.77E-05,7.88E-05,0.000102457,3.74E-06,2259, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.62E-05,7.68E-05,7.77E-05,7.89E-05,0.000106822,4.93E-06,2290, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.63E-05,7.68E-05,7.77E-05,7.89E-05,9.33E-05,2.95E-06,1128, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.64E-05,7.68E-05,7.77E-05,7.88E-05,0.000105496,3.91E-06,2184, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.61E-05,7.68E-05,7.77E-05,7.90E-05,0.000109037,5.86E-06,1126, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.62E-05,7.68E-05,7.78E-05,7.90E-05,0.0001074,1.21E-05,828, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.63E-05,7.68E-05,7.78E-05,7.90E-05,0.000107083,4.36E-06,831, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.63E-05,7.68E-05,7.76E-05,7.87E-05,0.000107669,4.56E-06,2185, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.63E-05,7.69E-05,7.77E-05,7.88E-05,9.73E-05,3.28E-06,1735, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.69E-05,7.77E-05,7.89E-05,0.00010855,4.85E-06,2187, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.62E-05,7.69E-05,7.78E-05,7.90E-05,0.000108452,5.08E-06,826, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.63E-05,7.69E-05,7.77E-05,7.90E-05,0.000106113,4.09E-06,1725, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.63E-05,7.69E-05,7.78E-05,7.90E-05,0.000105632,3.84E-06,1722, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.64E-05,7.69E-05,7.79E-05,7.93E-05,0.000105848,4.85E-06,1177, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.69E-05,7.78E-05,7.93E-05,9.98E-05,3.53E-06,1209, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.69E-05,7.77E-05,7.90E-05,0.000106297,4.25E-06,2223, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.64E-05,7.69E-05,7.77E-05,7.90E-05,0.000108363,5.19E-06,2262, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.69E-05,7.79E-05,7.89E-05,0.000103168,3.67E-06,1775, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.69E-05,7.77E-05,7.88E-05,0.000106838,4.57E-06,1727, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.64E-05,7.69E-05,7.78E-05,7.91E-05,0.000109386,4.43E-06,2278, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitSend, yl(366722768), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.69E-05,7.79E-05,7.90E-05,0.000105451,4.67E-06,1723, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.63E-05,7.69E-05,7.79E-05,7.92E-05,0.000106403,3.83E-06,830, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.64E-05,7.69E-05,7.77E-05,7.88E-05,8.99E-05,3.37E-06,2186, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.62E-05,7.69E-05,7.78E-05,7.90E-05,0.000108472,4.32E-06,1127, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.63E-05,7.69E-05,7.78E-05,7.90E-05,0.000105101,3.80E-06,2212, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.63E-05,7.69E-05,7.79E-05,7.91E-05,0.000107029,4.41E-06,829, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.63E-05,7.69E-05,7.78E-05,7.91E-05,0.000107304,4.29E-06,2295, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.69E-05,7.78E-05,7.90E-05,0.000103668,4.30E-06,2211, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.63E-05,7.69E-05,7.79E-05,7.93E-05,9.94E-05,3.59E-06,838, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(366722768), yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.62E-05,7.69E-05,7.78E-05,7.89E-05,0.000107699,4.23E-06,2214, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.63E-05,7.70E-05,7.81E-05,7.94E-05,0.000105505,4.23E-06,1208, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.70E-05,7.80E-05,7.92E-05,0.000106231,4.25E-06,1176, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.64E-05,7.70E-05,7.79E-05,7.90E-05,0.00010839,4.72E-06,480, Start, Scatter(355893104), StreamSync(355893104), yl(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.64E-05,7.70E-05,7.79E-05,7.91E-05,0.000106754,4.31E-06,520, Start, Scatter(355893104), StreamSync(355893104), yl(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.64E-05,7.70E-05,7.78E-05,7.91E-05,0.000108753,4.43E-06,2222, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.70E-05,7.79E-05,7.91E-05,0.000107785,4.42E-06,2213, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), yl(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.63E-05,7.70E-05,7.80E-05,7.94E-05,0.000107728,4.33E-06,879, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.65E-05,7.70E-05,7.80E-05,7.90E-05,0.000102939,3.59E-06,486, Start, Scatter(355893104), StreamSync(355893104), yl(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.66E-05,7.70E-05,7.78E-05,7.87E-05,0.000106611,4.22E-06,333, Start, yl(355893104), Scatter(366722768), PostRecv, StreamSync(366722768), PostSend, WaitRecv, WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.65E-05,7.70E-05,7.79E-05,7.90E-05,0.000108844,4.55E-06,529, Start, Scatter(355893104), StreamSync(355893104), yl(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.64E-05,7.70E-05,7.79E-05,7.90E-05,0.000107419,4.07E-06,2215, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.64E-05,7.70E-05,7.79E-05,7.89E-05,0.000105259,3.68E-06,610, Start, Scatter(355893104), StreamSync(355893104), yl(366722768), PostSend, PostRecv, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.63E-05,7.70E-05,7.80E-05,7.92E-05,0.000105152,5.04E-06,1806, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yl(366722768), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.65E-05,7.70E-05,7.78E-05,7.91E-05,0.000110494,4.76E-06,285, Start, yl(355893104), Scatter(366722768), StreamSync(366722768), PostSend, PostRecv, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
